gene_name_K12	gene_name_SL1344	gene_name_LT2	gene_name_14028s	gene_name_ST474	gene_id_K12	gene_id_SL1344	gene_id_LT2	gene_id_14028s	gene_id_ST474	ortho_id
ltaE	SL1344_RS04535	ltaA	ltaE	ltaE	b0870	SL1344_RS04535	STM0934	STM14_RS05120	STM474_RS04535	ortho_3165
gcvA	SL1344_RS15425	gcvA	gcvA	gcvA	b2808	SL1344_RS15425	STM2982	STM14_RS15950	STM474_RS15425	ortho_3166
rpe	SL1344_RS17975	rpe	STM14_RS18480	rpe	b3386	SL1344_RS17975	STM3483	STM14_RS18480	STM474_RS17975	ortho_3167
cysA	SL1344_RS12535	cysA	cysA	cysA	b2422	SL1344_RS12535	STM2441	STM14_RS13440	STM474_RS12535	ortho_3168
yfcR	SL1344_RS01005	stfE	stfE	STM474_RS01005	b2335	SL1344_RS01005	STM0198	STM14_RS01575	STM474_RS01005	ortho_3169
rplV	rplV	rplV	STM14_RS18240	rplV	b3315	SL1344_RS17735	STM3435	STM14_RS18240	STM474_RS17735	ortho_3170
csqR	SL1344_RS20675	yihW	STM14_RS21175	STM474_RS20675	b3884	SL1344_RS20675	STM4025	STM14_RS21175	STM474_RS20675	ortho_3171
lysO	SL1344_RS04555	ybjE	STM14_RS05140	STM474_RS04555	b0874	SL1344_RS04555	STM0938	STM14_RS05140	STM474_RS04555	ortho_3172
secA	SL1344_RS00690	secA	secA	secA	b0098	SL1344_RS00690	STM0136	STM14_RS01260	STM474_RS00690	ortho_3173
sra	SL1344_RS07795	rpsV	rpsV	sra	b1480	SL1344_RS07795	STM1565	STM14_RS08695	STM474_RS07795	ortho_3174
miaB	SL1344_RS03385	miaB	miaB	miaB	b0661	SL1344_RS03385	STM0670	STM14_RS03960	STM474_RS03385	ortho_3175
caiF	SL1344_RS00345	caiF	caiF	caiF	b0034	SL1344_RS00345	STM0068	STM14_RS00915	STM474_RS00345	ortho_3176
mdtC	SL1344_RS10935	yegO	mdtB	mdtC	b2076	SL1344_RS10935	STM2128	STM14_RS11840	STM474_RS10940	ortho_3177
rplE	SL1344_RS17700	rplE	STM14_RS18205	rplE	b3308	SL1344_RS17700	STM3428	STM14_RS18205	STM474_RS17700	ortho_3178
holC	SL1344_RS22960	holC	STM14_RS23455	holC	b4259	SL1344_RS22960	STM4476	STM14_RS23455	STM474_RS22960	ortho_3179
dgoD	SL1344_RS19705	dgoA	STM14_RS20210	dgoD	b4478	SL1344_RS19705	STM3828	STM14_RS20210	STM474_RS19705	ortho_3180
fliD	SL1344_RS09805	fliD	STM14_RS10710	fliD	b1924	SL1344_RS09805	STM1960	STM14_RS10710	STM474_RS09805	ortho_3181
bcsZ	SL1344_RS18635	bcsC	STM14_RS19140	bcsZ	b3531	SL1344_RS18635	STM3617	STM14_RS19140	STM474_RS18635	ortho_3182
ygdQ	SL1344_RS15555	ygdQ	STM14_RS16080	STM474_RS15555	b2832	SL1344_RS15555	STM3006	STM14_RS16080	STM474_RS15555	ortho_3183
yicJ	SL1344_RS19315	yicJ	STM14_RS19820	STM474_RS19315	b3657	SL1344_RS19315	STM3750	STM14_RS19820	STM474_RS19315	ortho_3184
aroB	SL1344_RS17990	aroB	STM14_RS18495	aroB	b3389	SL1344_RS17990	STM3486	STM14_RS18495	STM474_RS17990	ortho_3185
ilvI	SL1344_RS00590	ilvI	STM14_RS01160	ilvI	b0077	SL1344_RS00590	STM0116	STM14_RS01160	STM474_RS00590	ortho_3186
uspB	SL1344_RS18500	uspB	STM14_RS19005	uspB	b3494	SL1344_RS18500	STM3590	STM14_RS19005	STM474_RS18500	ortho_3187
hflD	SL1344_RS06090	ycfC	hflD	hflD	b1132	SL1344_RS06090	STM1233	STM14_RS06675	STM474_RS06090	ortho_3188
alaA	SL1344_RS11960	yfbQ	STM14_RS12865	alaA	b2290	SL1344_RS11960	STM2331	STM14_RS12865	STM474_RS11960	ortho_3189
proX	SL1344_RS14560	proX	STM14_RS15090	proX	b2679	SL1344_RS14560	STM2811	STM14_RS15090	STM474_RS14560	ortho_3190
yaiL	SL1344_RS21520	STM4192	STM14_RS22020	STM474_RS21520	b0354	SL1344_RS21520	STM4192	STM14_RS22020	STM474_RS21520	ortho_3191
cutC	SL1344_RS09540	cutC	cutC	cutC	b1874	SL1344_RS09540	STM1907	STM14_RS10445	STM474_RS09540	ortho_3192
trhP	SL1344_RS10975	yegQ	STM14_RS11880	yegQ	b2081	SL1344_RS10975	STM2136	STM14_RS11880	STM474_RS10975	ortho_3193
lipB	SL1344_RS03205	lipB	STM14_RS03780	lipB	b0630	SL1344_RS03205	STM0635	STM14_RS03780	STM474_RS03205	ortho_3194
recE	SL1344_RS04915	STM1009	STM14_RS25945	STM474_RS04915	b1350	SL1344_RS04915	STM1009	STM14_RS25945	STM474_RS04915	ortho_3195
lptF	SL1344_RS22975	yjgP	lptF	lptF	b4261	SL1344_RS22975	STM4479	STM14_RS23470	STM474_RS22975	ortho_3196
opgC	SL1344_RS05660	mdoC	STM14_RS06245	mdoC	b1047	SL1344_RS05660	STM1149	STM14_RS06245	STM474_RS05660	ortho_3197
purR	SL1344_RS07105	purR	STM14_RS08005	purR	b1658	SL1344_RS07105	STM1430	STM14_RS08005	STM474_RS07105	ortho_3198
yhhQ	SL1344_RS18445	yhhQ	STM14_RS18950	STM474_RS18445	b3471	SL1344_RS18445	STM3579	STM14_RS18950	STM474_RS18445	ortho_3199
allR	SL1344_RS02625	allR	STM14_RS03195	allR	b0506	SL1344_RS02625	STM0516	STM14_RS03195	STM474_RS02625	ortho_3200
ydeJ	SL1344_RS07525	ydeJ	ydeJ	STM474_RS07525	b1537	SL1344_RS07525	STM1514	STM14_RS08425	STM474_RS07525	ortho_3201
galF	SL1344_RS10790	galF	STM14_RS11695	galF	b2042	SL1344_RS10790	STM2098	STM14_RS11695	STM474_RS10790	ortho_3202
ppsA	SL1344_RS06705	pps	STM14_RS07605	ppsA	b1702	SL1344_RS06705	STM1349	STM14_RS07605	STM474_RS06705	ortho_3203
gshA	gshA	gshA	STM14_RS15125	gshA	b2688	SL1344_RS14595	STM2818	STM14_RS15125	STM474_RS14595	ortho_3204
phoQ	phoQ	phoQ	phoQ	phoQ	b1129	SL1344_RS06075	STM1230	STM14_RS06660	STM474_RS06075	ortho_3205
flhE	flhe	flhE	flhE	flhe	b1878	SL1344_RS09565	STM1912	STM14_RS10470	STM474_RS09565	ortho_3206
ydfU	SL1344_RS11505	STM2240	STM14_RS11070	STM474_RS11505	b1560	SL1344_RS11505	STM2240	STM14_RS11070	STM474_RS11505	ortho_3207
yafN	SL1344_RS07710	STM1551	STM14_RS08610	NA	b0232	SL1344_RS07710	STM1551	STM14_RS08610	NA	ortho_3208
yeeA	SL1344_RS10600	yeeA	STM14_RS11505	STM474_RS10600	b2008	SL1344_RS10600	STM2060	STM14_RS11505	STM474_RS10600	ortho_3209
leuB	leuB	leuB	STM14_RS01140	leuB	b0073	SL1344_RS00570	STM0112	STM14_RS01140	STM474_RS00570	ortho_3210
flgJ	flgJ	flgJ	flgJ	flgJ	b1081	SL1344_RS05825	STM1182	STM14_RS06410	STM474_RS05825	ortho_3211
yggI	SL1344_RS15995	sprT	STM14_RS16520	STM474_RS15995	b2944	SL1344_RS15995	STM3092	STM14_RS16520	STM474_RS15995	ortho_3212
macA	SL1344_RS04570	ybjY	macA	macA	b0878	SL1344_RS04570	STM0941	STM14_RS05155	STM474_RS04570	ortho_3213
nupG	SL1344_RS16100	nupG	NA	STM474_RS16100	b2964	SL1344_RS16100	STM3113	NA	STM474_RS16100	ortho_3214
ybgE	SL1344_RS03765	ybgE	ybgE	ybgE	b0735	SL1344_RS03765	STM0743	STM14_RS04340	STM474_RS03765	ortho_3215
fliM	SL1344_RS09885	fliM	fliM	fliM	b1945	SL1344_RS09885	STM1976	STM14_RS10790	STM474_RS09885	ortho_3216
fadJ	fadJ	yfcX	fadJ	fadJ	b2341	SL1344_RS12250	STM2388	STM14_RS13155	STM474_RS12250	ortho_3217
ccmF	SL1344_RS19635	ccmF	STM14_RS20140	STM474_RS11555	b2196	SL1344_RS19635	STM2249	STM14_RS20140	STM474_RS11555	ortho_3218
prmB	SL1344_RS12235	yfcB	STM14_RS13140	prmB	b2330	SL1344_RS12235	STM2385	STM14_RS13140	STM474_RS12235	ortho_3219
nemR	SL1344_RS07140	ydhM	STM14_RS08040	STM474_RS07140	b1649	SL1344_RS07140	STM1437	STM14_RS08040	STM474_RS07140	ortho_3220
norR	SL1344_RS14705	ygaA	STM14_RS15235	norR	b2709	SL1344_RS14705	STM2839	STM14_RS15235	STM474_RS14705	ortho_3221
ftsK	SL1344_RS04665	ftsK	ftsK	ftsK	b0890	SL1344_RS04665	STM0960	STM14_RS05250	STM474_RS04665	ortho_3222
speF	speF	speF	speF	speF	b0693	SL1344_RS03540	STM0701	STM14_RS04115	STM474_RS03540	ortho_3223
chiP	chiP	ybfM	chiP	chiP	b0681	SL1344_RS03470	STM0687	STM14_RS04045	STM474_RS03470	ortho_3224
yjhP	SL1344_RS23085	yjhP	STM14_RS23580	STM474_RS23085	b4306	SL1344_RS23085	STM4500	STM14_RS23580	STM474_RS23085	ortho_3225
eutA	SL1344_RS12625	eutA	eutA	eutA	b2451	SL1344_RS12625	STM2459	STM14_RS13530	STM474_RS12625	ortho_3226
yidE	SL1344_RS19600	yidE	STM14_RS20105	STM474_RS19600	b3685	SL1344_RS19600	STM3807	STM14_RS20105	STM474_RS19600	ortho_3227
ybiJ	SL1344_RS04165	ybiJ	STM14_RS04750	STM474_RS04165	b0802	SL1344_RS04165	STM0823	STM14_RS04750	STM474_RS04165	ortho_3228
murG	murG	murG	STM14_RS01220	murG	b0090	SL1344_RS00650	STM0128	STM14_RS01220	STM474_RS00650	ortho_3229
ldcC	ldcC	ldcC	ldcC	ldcC	b0186	SL1344_RS01185	STM0234	STM14_RS01755	STM474_RS01185	ortho_3230
fimB	SL1344_RS03620	STM0716	STM14_RS04195	STM474_RS03620	b4312	SL1344_RS03620	STM0716	STM14_RS04195	STM474_RS03620	ortho_3231
arfB	SL1344_RS01215	yaeJ	STM14_RS01785	arfB	b0191	SL1344_RS01215	STM0240	STM14_RS01785	STM474_RS01215	ortho_3232
rhtC	SL1344_RS20355	rhtC	rhtC	rhtC	b3823	SL1344_RS20355	STM3959	STM14_RS20855	STM474_RS20355	ortho_3233
smpB	smpB	smpB	STM14_RS14680	smpB	b2620	SL1344_RS13855	STM2688	STM14_RS14680	STM474_RS13855	ortho_3234
rpoD	SL1344_RS16600	rpoD	rpoD	rpoD	b3067	SL1344_RS16600	STM3211	STM14_RS17130	STM474_RS16600	ortho_3235
bglX	SL1344_RS11135	bglX	STM14_RS12040	bglX	b2132	SL1344_RS11135	STM2166	STM14_RS12040	STM474_RS11135	ortho_3236
prlC	SL1344_RS18520	prlC	STM14_RS19025	prlC	b3498	SL1344_RS18520	STM3594	STM14_RS19025	STM474_RS18520	ortho_3237
yciG	NA	NA	NA	STM474_RS07520	b1259	NA	NA	NA	STM474_RS07520	ortho_3238
malF	SL1344_RS21705	malF	malF	malF	b4033	SL1344_RS21705	STM4228	STM14_RS22205	STM474_RS21705	ortho_3239
ydgV	SL1344_RS26630	NA	STM14_RS25990	NA	b4777	SL1344_RS26630	NA	STM14_RS25990	NA	ortho_3240
sgbU	SL1344_RS18945	sgbU	STM14_RS19450	STM474_RS18945	b3582	SL1344_RS18945	STM3676	STM14_RS19450	STM474_RS18945	ortho_3241
ybaB	SL1344_RS02470	ybaB	STM14_RS03040	STM474_RS02470	b0471	SL1344_RS02470	STM0485	STM14_RS03040	STM474_RS02470	ortho_3242
ddlB	ddl	ddlB	ddl	STM474_RS00660	b0092	SL1344_RS00660	STM0130	STM14_RS01230	STM474_RS00660	ortho_3243
lsrK	SL1344_RS20925	ydeV	STM14_RS21425	lsrK	b1511	SL1344_RS20925	STM4072	STM14_RS21425	STM474_RS20925	ortho_3244
ypeB	SL1344_RS12455	STM2426	STM14_2981	STM474_RS12455	b4546	SL1344_RS12455	STM2426	STM14_RS13360	STM474_RS12455	ortho_3245
yfcC	SL1344_RS12000	yfcC	STM14_RS12905	yfcC	b2298	SL1344_RS12000	STM2339	STM14_RS12905	STM474_RS12000	ortho_3246
mltF	SL1344_RS13155	yfhD	mltF	mltF	b2558	SL1344_RS13155	STM2567	STM14_RS14060	STM474_RS13155	ortho_3247
hypE	hypE	hypE	hypE	hypE	b2730	SL1344_RS14800	STM2858	STM14_RS15330	STM474_RS14800	ortho_3248
ygaM	SL1344_RS14510	ygaM	STM14_RS15040	STM474_RS14510	b2672	SL1344_RS14510	STM2802	STM14_RS15040	STM474_RS14510	ortho_3249
hsdS	SL1344_RS23215	hsdS	STM14_RS23710	STM474_RS23215	b4348	SL1344_RS23215	STM4524	STM14_RS23710	STM474_RS23215	ortho_3250
glnK	SL1344_RS02360	glnK	STM14_RS02930	glnK	b0450	SL1344_RS02360	STM0462	STM14_RS02930	STM474_RS02360	ortho_3251
tktA	tkt	tktA	STM14_RS13605	tkt	b2935	SL1344_RS12700	STM3076	STM14_RS13605	STM474_RS12700	ortho_3252
lptE	SL1344_RS03270	rlpB	STM14_RS03845	lptE	b0641	SL1344_RS03270	STM0647	STM14_RS03845	STM474_RS03270	ortho_3253
yhiD	SL1344_RS19380	mgtC	mgtC	STM474_RS19380	b3508	SL1344_RS19380	STM3764	STM14_RS19885	STM474_RS19380	ortho_3254
kdpB	kdpB	kdpB	STM14_RS04140	kdpB	b0697	SL1344_RS03565	STM0705	STM14_RS04140	STM474_RS03565	ortho_3255
ybbY	SL1344_RS02660	ybbY	STM14_RS03230	STM474_RS02660	b0513	SL1344_RS02660	STM0524	STM14_RS03230	STM474_RS02660	ortho_3256
treF	treF	treF	treF	STM474_RS18565	b3519	SL1344_RS18565	STM3603	STM14_RS19070	STM474_RS18565	ortho_3257
folB	folB	folB	folB	folB	b3058	SL1344_RS16575	STM3206	STM14_RS17105	STM474_RS16575	ortho_3258
gspO	hopD	hopD	hopD	hopD	b3335	SL1344_RS17770	STM3442	STM14_RS18275	STM474_RS17770	ortho_3259
ptsG	SL1344_RS05935	ptsG	STM14_RS06520	ptsG	b1101	SL1344_RS05935	STM1203	STM14_RS06520	STM474_RS05935	ortho_3260
NA	SL1344_RS24610	NA	NA	STM474_RS24605	NA	SL1344_RS24610	NA	NA	STM474_RS24605	ortho_3261
NA	SL1344_RS04900	STM1006	STM14_RS05485	STM474_RS04900	NA	SL1344_RS04900	STM1006	STM14_RS05485	STM474_RS04900	ortho_3262
NA	SL1344_RS24665	NA	NA	STM474_RS24660	NA	SL1344_RS24665	NA	NA	STM474_RS24660	ortho_3263
NA	SL1344_RS07650	hydA	hydA	STM474_RS07650	NA	SL1344_RS07650	STM1539	STM14_RS08550	STM474_RS07650	ortho_3264
NA	SL1344_RS04905	STM1007	STM14_RS14425	STM474_RS13530	NA	SL1344_RS04905	STM1007	STM14_RS14425	STM474_RS13530	ortho_3265
NA	SL1344_RS13725	NA	NA	STM474_RS13725	NA	SL1344_RS13725	NA	NA	STM474_RS13725	ortho_3266
NA	spvC	spvD	spvC	spvC	NA	SL1344_RS24005	PSLT035	STM14_RS00190	STM474_RS24000	ortho_3267
NA	pagC	pagC	pagC	pagC	NA	SL1344_RS06165	STM1246	STM14_RS07065	STM474_RS06165	ortho_3268
NA	SL1344_RS13780	NA	NA	STM474_RS13780	NA	SL1344_RS13780	NA	NA	STM474_RS13780	ortho_3269
NA	SL1344_RS02240	STM0438	STM14_RS02810	STM474_RS02240	NA	SL1344_RS02240	STM0438	STM14_RS02810	STM474_RS02240	ortho_3270
NA	SL1344_RS11675	STM2274	STM14_RS12580	STM474_RS11675	NA	SL1344_RS11675	STM2274	STM14_RS12580	STM474_RS11675	ortho_3271
NA	SL1344_RS06205	STM1251	STM14_RS07105	STM474_RS06205	NA	SL1344_RS06205	STM1251	STM14_RS07105	STM474_RS06205	ortho_3272
NA	SL1344_RS12990	STM2534	STM14_RS13895	STM474_RS12990	NA	SL1344_RS12990	STM2534	STM14_RS13895	STM474_RS12990	ortho_3273
NA	rarD	STM2986	rarD	rarD	NA	SL1344_RS15445	STM2986	STM14_RS15970	STM474_RS15445	ortho_3274
NA	iolC	STM4430	iolC1/2	iolC	NA	SL1344_RS22735	STM4430	STM14_RS23230	STM474_RS22735	ortho_3275
NA	SL1344_RS21080	NA	STM14_4931	STM474_RS21080	NA	SL1344_RS21080	NA	STM14_RS21580	STM474_RS21080	ortho_3276
NA	SL1344_RS22790	STM4442	STM14_5333	STM474_RS22790	NA	SL1344_RS22790	STM4442	STM14_RS23285	STM474_RS22790	ortho_3277
NA	SL1344_RS13075	STM2551	STM14_RS13980	STM474_RS13075	NA	SL1344_RS13075	STM2551	STM14_RS13980	STM474_RS13075	ortho_3278
NA	SL1344_RS10520	pduH	STM14_RS11425	pduH	NA	SL1344_RS10520	STM2044	STM14_RS11425	STM474_RS10520	ortho_3279
NA	SL1344_RS14030	NA	NA	STM474_RS14030	NA	SL1344_RS14030	NA	NA	STM474_RS14030	ortho_3280
NA	hypA	hypA	hypA	hypA	NA	SL1344_RS07610	STM1531	STM14_RS08510	STM474_RS07610	ortho_3281
NA	SL1344_RS10315	STM2007	STM14_RS11220	STM474_RS10315	NA	SL1344_RS10315	STM2007	STM14_RS11220	STM474_RS10315	ortho_3282
NA	SL1344_RS02730	STM0538	STM14_RS03300	STM474_RS02730	NA	SL1344_RS02730	STM0538	STM14_RS03300	STM474_RS02730	ortho_3283
NA	SL1344_RS08785	STM1760	STM14_RS09690	STM474_RS08785	NA	SL1344_RS08785	STM1760	STM14_RS09690	STM474_RS08785	ortho_3284
NA	SL1344_RS12035	STM2345	STM14_RS12940	STM474_RS12035	NA	SL1344_RS12035	STM2345	STM14_RS12940	STM474_RS12035	ortho_3285
NA	SL1344_RS01390	STM0274	STM14_RS01960	tssC	NA	SL1344_RS01390	STM0274	STM14_RS01960	STM474_RS01390	ortho_3286
NA	SL1344_RS21915	STM4270	STM14_RS22415	STM474_RS21915	NA	SL1344_RS21915	STM4270	STM14_RS22415	STM474_RS21915	ortho_3287
NA	SL1344_RS15115	STM2921	STM14_RS15645	STM474_RS15115	NA	SL1344_RS15115	STM2921	STM14_RS15645	STM474_RS15115	ortho_3288
NA	prgI	prgI	prgI	prgI	NA	SL1344_RS14875	STM2873	STM14_RS15405	STM474_RS14875	ortho_3289
NA	SL1344_RS16510	STM3193	STM14_RS17040	STM474_RS16510	NA	SL1344_RS16510	STM3193	STM14_RS17040	STM474_RS16510	ortho_3290
NA	SL1344_RS19290	STM3745	STM14_4510	STM474_RS19290	NA	SL1344_RS19290	STM3745	STM14_RS19795	STM474_RS19290	ortho_3291
NA	SL1344_RS14195	STM2742	STM14_3305	STM474_RS14195	NA	SL1344_RS14195	STM2742	STM14_RS14720	STM474_RS14195	ortho_3292
NA	SL1344_RS18650	yhjQ	bcsQ	bcsQ	NA	SL1344_RS18650	STM3620	STM14_RS19155	STM474_RS18650	ortho_3293
NA	SL1344_RS06235	STM1256	STM14_RS07135	STM474_RS06235	NA	SL1344_RS06235	STM1256	STM14_RS07135	STM474_RS06235	ortho_3294
NA	SL1344_RS04625	STM0952	STM14_RS05210	STM474_RS04625	NA	SL1344_RS04625	STM0952	STM14_RS05210	STM474_RS04625	ortho_3295
NA	SL1344_RS03860	STM0762	STM14_RS04435	STM474_RS03860	NA	SL1344_RS03860	STM0762	STM14_RS04435	STM474_RS03860	ortho_3296
NA	SL1344_RS01350	STM0267	tssG	tssG	NA	SL1344_RS01350	STM0267	STM14_RS01920	STM474_RS01350	ortho_3297
NA	avrA	avrA	NA	avrA	NA	SL1344_RS14835	STM2865	NA	STM474_RS14835	ortho_3298
NA	SL1344_RS17270	STM3343	STM14_RS17775	STM474_RS17270	NA	SL1344_RS17270	STM3343	STM14_RS17775	STM474_RS17270	ortho_3299
NA	argF	STM4465	STM14_RS23400	argF	NA	SL1344_RS22905	STM4465	STM14_RS23400	STM474_RS22905	ortho_3300
NA	SL1344_RS04475	STM0885	STM14_RS05060	STM474_RS04475	NA	SL1344_RS04475	STM0885	STM14_RS05060	STM474_RS04475	ortho_3301
NA	SL1344_RS03990	hutG	STM14_RS04565	STM474_RS03990	NA	SL1344_RS03990	STM0788	STM14_RS04565	STM474_RS03990	ortho_3302
NA	SL1344_RS13950	STM2709	NA	STM474_RS13950	NA	SL1344_RS13950	STM2709	NA	STM474_RS13950	ortho_3303
NA	SL1344_RS04995	NA	STM14_RS05580	STM474_RS04995	NA	SL1344_RS04995	NA	STM14_RS05580	STM474_RS04995	ortho_3304
NA	SL1344_RS24100	pefA	pefB	pefB	NA	SL1344_RS24100	PSLT018	STM14_RS00095	STM474_RS24095	ortho_3305
NA	SL1344_RS13450	NA	STM14_RS14350	STM474_RS13450	NA	SL1344_RS13450	NA	STM14_RS14350	STM474_RS13450	ortho_3306
NA	SL1344_RS08910	STM1785	STM14_RS09815	STM474_RS08910	NA	SL1344_RS08910	STM1785	STM14_RS09815	STM474_RS08910	ortho_3307
NA	SL1344_RS18825	STM3652	STM14_4402	STM474_RS18825	NA	SL1344_RS18825	STM3652	STM14_RS19330	STM474_RS18825	ortho_3308
NA	SL1344_RS14300	STM2762	STM14_RS14825	STM474_RS14300	NA	SL1344_RS14300	STM2762	STM14_RS14825	STM474_RS14300	ortho_3309
NA	SL1344_RS06250	STM1259	STM14_RS07150	STM474_RS06250	NA	SL1344_RS06250	STM1259	STM14_RS07150	STM474_RS06250	ortho_3310
NA	SL1344_RS12010	STM2341	STM14_RS12915	STM474_RS12010	NA	SL1344_RS12010	STM2341	STM14_RS12915	STM474_RS12010	ortho_3311
NA	SL1344_RS20895	STM4065	STM14_RS21395	STM474_RS20895	NA	SL1344_RS20895	STM4065	STM14_RS21395	STM474_RS20895	ortho_3312
NA	SL1344_RS01560	sinR	STM14_RS02130	STM474_RS01560	NA	SL1344_RS01560	STM0304	STM14_RS02130	STM474_RS01560	ortho_3313
NA	SL1344_RS15685	STM3031	STM14_RS16210	STM474_RS15685	NA	SL1344_RS15685	STM3031	STM14_RS16210	STM474_RS15685	ortho_3314
NA	SL1344_RS22780	STM4440	STM14_RS23275	STM474_RS22780	NA	SL1344_RS22780	STM4440	STM14_RS23275	STM474_RS22780	ortho_3315
NA	SL1344_RS13065	asrB	asrB	asrB	NA	SL1344_RS13065	STM2549	STM14_RS13970	STM474_RS13065	ortho_3316
NA	SL1344_RS14170	NA	NA	STM474_RS14170	NA	SL1344_RS14170	NA	NA	STM474_RS14170	ortho_3317
NA	SL1344_RS13910	STM2700	NA	STM474_RS13910	NA	SL1344_RS13910	STM2700	NA	STM474_RS13910	ortho_3318
NA	SL1344_RS14365	iroD	STM14_RS14895	STM474_RS14365	NA	SL1344_RS14365	STM2775	STM14_RS14895	STM474_RS14365	ortho_3319
NA	SL1344_RS24700	NA	NA	STM474_RS24690	NA	SL1344_RS24700	NA	NA	STM474_RS24690	ortho_3320
NA	SL1344_RS24640	NA	NA	pilM	NA	SL1344_RS24640	NA	NA	STM474_RS24635	ortho_3321
NA	SL1344_RS02900	STM0574	STM14_RS03475	STM474_RS02900	NA	SL1344_RS02900	STM0574	STM14_RS03475	STM474_RS02900	ortho_3322
NA	SL1344_RS07680	STM1545	STM14_RS08580	STM474_RS07680	NA	SL1344_RS07680	STM1545	STM14_RS08580	STM474_RS07680	ortho_3323
NA	SL1344_RS24060	PSLT029	STM14_5552	STM474_RS24055	NA	SL1344_RS24060	PSLT029	STM14_RS00135	STM474_RS24055	ortho_3324
NA	SL1344_RS06865	orf408	STM14_RS07765	STM474_RS06865	NA	SL1344_RS06865	STM1382	STM14_RS07765	STM474_RS06865	ortho_3325
NA	hpaD	hpaD	STM14_RS06005	hpaD	NA	SL1344_RS05420	STM1103	STM14_RS06005	STM474_RS05420	ortho_3326
NA	SL1344_RS07980	ugtL	STM14_RS08880	STM474_RS07980	NA	SL1344_RS07980	STM1601	STM14_RS08880	STM474_RS07980	ortho_3327
NA	SL1344_RS26610	STM1250	STM14_1508	STM474_RS26590	NA	SL1344_RS26610	STM1250	STM14_RS25970	STM474_RS26590	ortho_3328
NA	SL1344_RS18160	STM3521	STM14_RS18665	STM474_RS18160	NA	SL1344_RS18160	STM3521	STM14_RS18665	STM474_RS18160	ortho_3329
NA	SL1344_RS11680	STM2275	STM14_RS12585	STM474_RS11680	NA	SL1344_RS11680	STM2275	STM14_RS12585	STM474_RS11680	ortho_3330
NA	SL1344_RS20605	STM4011	STM14_RS21105	STM474_RS20605	NA	SL1344_RS20605	STM4011	STM14_RS21105	STM474_RS20605	ortho_3331
NA	SL1344_RS08370	STM1677	STM14_RS09270	STM474_RS08370	NA	SL1344_RS08370	STM1677	STM14_RS09270	STM474_RS08370	ortho_3332
NA	pduU	pduU	pduU	pduU	NA	SL1344_RS10575	STM2055	STM14_RS11480	STM474_RS10575	ortho_3333
NA	iolD	STM4431	iolD1/2	iolD	NA	SL1344_RS22740	STM4431	STM14_RS23235	STM474_RS22740	ortho_3334
NA	SL1344_RS13080	STM2552	STM14_RS13985	STM474_RS13080	NA	SL1344_RS13080	STM2552	STM14_RS13985	STM474_RS13080	ortho_3335
NA	SL1344_RS14085	NA	NA	STM474_RS14085	NA	SL1344_RS14085	NA	NA	STM474_RS14085	ortho_3336
NA	SL1344_RS22155	STM4316	STM14_5190	STM474_RS22155	NA	SL1344_RS22155	STM4316	STM14_RS22650	STM474_RS22155	ortho_3337
NA	SL1344_RS00285	oadG1	STM14_RS00850	STM474_RS00285	NA	SL1344_RS00285	STM0056	STM14_RS00850	STM474_RS00285	ortho_3338
NA	SL1344_RS25700	STM1865	STM14_RS25200	STM474_RS25680	NA	SL1344_RS25700	STM1865	STM14_RS25200	STM474_RS25680	ortho_3339
NA	SL1344_RS16375	STM3167	STM14_RS16905	STM474_RS16375	NA	SL1344_RS16375	STM3167	STM14_RS16905	STM474_RS16375	ortho_3340
NA	SL1344_RS04045	STM0799	STM14_927	STM474_RS04045	NA	SL1344_RS04045	STM0799	STM14_RS04620	STM474_RS04045	ortho_3341
NA	cybH	hydC	hydC	cybH	NA	SL1344_RS07640	STM1537	STM14_RS08540	STM474_RS07640	ortho_3342
NA	SL1344_RS24020	spvD	STM14_RS00175	STM474_RS24015	NA	SL1344_RS24020	PSLT035	STM14_RS00175	STM474_RS24015	ortho_3343
NA	phnT	phnT	STM14_RS02760	phnT	NA	SL1344_RS02190	STM0428	STM14_RS02760	STM474_RS02190	ortho_3344
NA	SL1344_RS07940	srfA	srfA	STM474_RS07940	NA	SL1344_RS07940	STM1593	STM14_RS08840	STM474_RS07940	ortho_3345
NA	SL1344_RS10320	STM2008	STM14_2492	STM474_RS10320	NA	SL1344_RS10320	STM2008	STM14_RS11225	STM474_RS10320	ortho_3346
NA	SL1344_RS14825	sitC	STM14_RS15355	sitC	NA	SL1344_RS14825	STM2863	STM14_RS15355	STM474_RS14825	ortho_3347
NA	SL1344_RS08330	STM1669	zirT	STM474_RS08330	NA	SL1344_RS08330	STM1669	STM14_RS09230	STM474_RS08330	ortho_3348
NA	prgH	prgH	prgH	prgH	NA	SL1344_RS14880	STM2874	STM14_RS15410	STM474_RS14880	ortho_3349
NA	SL1344_RS10535	pduL	pduL	pduL	NA	SL1344_RS10535	STM2047	STM14_RS11440	STM474_RS10535	ortho_3350
NA	SL1344_RS12885	shdA	NA	shdA	NA	SL1344_RS12885	STM2513	NA	STM474_RS12885	ortho_3351
NA	mmsA	STM4421	iolA	iolA	NA	SL1344_RS22700	STM4421	STM14_RS23195	STM474_RS22700	ortho_3352
NA	SL1344_RS14045	NA	NA	STM474_RS14045	NA	SL1344_RS14045	NA	NA	STM474_RS14045	ortho_3353
